,Confidence Threshold,Labels,Image Name,Image URL,Media in Tweet,Media Type,Tweet URL
943,True,"['Architecture', 'Building', 'Hospital', 'Clinic', 'Doctor', 'Indoors', 'Medical Procedure', 'Operating Theatre', 'Person', 'Adult', 'Male', 'Man', 'Clothing', 'Hat', 'Helmet']",GGypELTWcAAByF9.jpg,https://pbs.twimg.com/media/GGypELTWcAAByF9.jpg,https://t.co/F9BZhrsrtN https://pbs.twimg.com/media/GGypELTWcAAByF9.jpg,photo,https://t.co/F9BZhrsrtN
944,True,"['Advertisement', 'Poster', 'Adult', 'Male', 'Man', 'Person', 'Face', 'Head']",GGyqMbDWcAAp3KE.jpg,https://pbs.twimg.com/media/GGyqMbDWcAAp3KE.jpg,https://t.co/XWwItRu9gi https://pbs.twimg.com/media/GGyqMbDWcAAp3KE.jpg,photo,https://t.co/XWwItRu9gi
945,True,"['Advertisement', 'Poster', 'Person']",GGysd3eXgAAb8lO.jpg,https://pbs.twimg.com/media/GGysd3eXgAAb8lO.jpg,https://t.co/cJvsBZcm7V https://pbs.twimg.com/media/GGysd3eXgAAb8lO.jpg,photo,https://t.co/cJvsBZcm7V
946,True,"['Cup', 'Disposable Cup', 'Indoors', 'Restaurant', 'Cafe']",GGysiPfWYAAE3FL.jpg,https://pbs.twimg.com/media/GGysiPfWYAAE3FL.jpg,https://t.co/GVkjOqIazS https://pbs.twimg.com/media/GGysiPfWYAAE3FL.jpg,photo,https://t.co/GVkjOqIazS
947,True,"['Accessories', 'Formal Wear', 'Tie', 'Glasses', 'Advertisement', 'Clothing', 'Suit', 'Adult', 'Male', 'Man', 'Person', 'Photography', 'Necktie', 'Poster', 'Face', 'Head', 'Portrait']",GGysoUJW4AAORzO.jpg,https://pbs.twimg.com/media/GGysoUJW4AAORzO.jpg,https://t.co/YFNWsM4hkh https://pbs.twimg.com/media/GGysoUJW4AAORzO.jpg,photo,https://t.co/YFNWsM4hkh
948,True,"['Body Part', 'Finger', 'Hand', 'Person', 'Medication', 'Pill']",GGyv7bbWkAEBal-.jpg,https://pbs.twimg.com/media/GGyv7bbWkAEBal-.jpg,https://t.co/JNwrrMEts4 https://pbs.twimg.com/media/GGyv7bbWkAEBal-.jpg,photo,https://t.co/JNwrrMEts4
949,True,"['Advertisement', 'Poster']",GGyv7cSXsAIJgEJ.jpg,https://pbs.twimg.com/media/GGyv7cSXsAIJgEJ.jpg,https://t.co/BSEPjZ9YZs https://pbs.twimg.com/media/GGyv7cSXsAIJgEJ.jpg,photo,https://t.co/BSEPjZ9YZs
950,True,"['Person', 'Text', 'Face', 'Head']",GGyygHdXYAAQm-H.jpg,https://pbs.twimg.com/media/GGyygHdXYAAQm-H.jpg,https://t.co/YtgGqj7Dj6 https://pbs.twimg.com/media/GGyygHdXYAAQm-H.jpg,photo,https://t.co/YtgGqj7Dj6
951,True,"['Nature', 'Outdoors', 'Sky', 'Lighting', 'Flare', 'Light']",GGyz2wVXsAA7coF.jpg,https://pbs.twimg.com/media/GGyz2wVXsAA7coF.jpg,https://t.co/NNUUZhrE0S https://pbs.twimg.com/media/GGyz2wVXsAA7coF.jpg,photo,https://t.co/NNUUZhrE0S
952,True,"['Conversation', 'Person', 'Interview']",GGz0BkHa4AAGOwf.png,https://pbs.twimg.com/media/GGz0BkHa4AAGOwf.png,https://t.co/oS1idjj0hk https://pbs.twimg.com/media/GGz0BkHa4AAGOwf.png,photo,https://t.co/oS1idjj0hk
953,True,"['Lighting', 'Advertisement', 'Poster', 'Adult', 'Male', 'Man', 'Person', 'Face', 'Head', 'People']",GGz3oXGWAAAh9db.jpg,https://pbs.twimg.com/media/GGz3oXGWAAAh9db.jpg,https://t.co/RF254zca9K https://pbs.twimg.com/media/GGz3oXGWAAAh9db.jpg,photo,https://t.co/RF254zca9K
954,True,"['Advertisement', 'Poster', 'Person', 'Face', 'Head', 'Clothing', 'Turban', 'Accessories', 'Glasses']",GGz6erUa0AADKqa.jpg,https://pbs.twimg.com/media/GGz6erUa0AADKqa.jpg,https://t.co/zIddIlkgDv https://pbs.twimg.com/media/GGz6erUa0AADKqa.jpg,photo,https://t.co/zIddIlkgDv
955,True,"['Electronics', 'Mobile Phone', 'Phone']",GGzFVezWsAA86pk.jpg,https://pbs.twimg.com/media/GGzFVezWsAA86pk.jpg,https://t.co/4bwvpVnSl3 https://pbs.twimg.com/media/GGzFVezWsAA86pk.jpg,photo,https://t.co/4bwvpVnSl3
956,True,"['Purple', 'Lighting', 'Club', 'Performer', 'Person', 'Solo Performance', 'Light']",GGzH1msW0AAyWrH.jpg,https://pbs.twimg.com/media/GGzH1msW0AAyWrH.jpg,https://t.co/EC6Ljr9WbB https://pbs.twimg.com/media/GGzH1msW0AAyWrH.jpg,photo,https://t.co/EC6Ljr9WbB
957,True,['Logo'],GGzICO1XkAAdxDV.jpg,https://pbs.twimg.com/media/GGzICO1XkAAdxDV.jpg,https://t.co/0LOZVUIaVt https://pbs.twimg.com/media/GGzICO1XkAAdxDV.jpg,photo,https://t.co/0LOZVUIaVt
958,True,"['Advertisement', 'Poster']",GGzIEqHaAAAfJFl.jpg,https://pbs.twimg.com/media/GGzIEqHaAAAfJFl.jpg,https://t.co/1VFMJYWao7 https://pbs.twimg.com/media/GGzIEqHaAAAfJFl.jpg,photo,https://t.co/1VFMJYWao7
959,True,"['City', 'Urban']",GGzJPsdWUAABDXW.jpg,https://pbs.twimg.com/media/GGzJPsdWUAABDXW.jpg,https://t.co/j8HL7029WW https://pbs.twimg.com/media/GGzJPsdWUAABDXW.jpg,photo,https://t.co/j8HL7029WW
960,True,"['People', 'Person', 'Adult', 'Male', 'Man']",GGzKtvuWEAEpWNA.jpg,https://pbs.twimg.com/media/GGzKtvuWEAEpWNA.jpg,https://t.co/Qnaz6Zm6Ss https://pbs.twimg.com/media/GGzKtvuWEAEpWNA.jpg,photo,https://t.co/Qnaz6Zm6Ss
961,True,"['Advertisement', 'Poster', 'Text', 'Menu']",GGzNOLtasAQmGZ9.jpg,https://pbs.twimg.com/media/GGzNOLtasAQmGZ9.jpg,https://t.co/41dWyXVgWz https://pbs.twimg.com/media/GGzNOLtasAQmGZ9.jpg,photo,https://t.co/41dWyXVgWz
962,True,"['Advertisement', 'Poster']",GGzOkBVXkAADxd2.jpg,https://pbs.twimg.com/media/GGzOkBVXkAADxd2.jpg,https://t.co/n20fhARK6I https://pbs.twimg.com/media/GGzOkBVXkAADxd2.jpg,photo,https://t.co/n20fhARK6I
